エフェクト・演出に関する呪文		汗だくの体	sweaty body
エフェクト・演出に関する呪文		汗が滴る	dripping sweat
エフェクト・演出に関する呪文		湯気	steam
エフェクト・演出に関する呪文		吐息	breath
エフェクト・演出に関する呪文		荒い呼吸	heavy breathing
エフェクト・演出に関する呪文		効果音	sound effects
エフェクト・演出に関する呪文		ハートマーク	heart symbols
エフェクト・演出に関する呪文		震え	trembling
エフェクト・演出に関する呪文		揺れ	shaking
エフェクト・演出に関する呪文		揺れる胸	bouncing breasts
エフェクト・演出に関する呪文		濡れた肌	wet skin
エフェクト・演出に関する呪文		艶めく肌	glistening skin
エフェクト・演出に関する呪文		紅潮した肌	flushed skin
挿入・接合部表現に関する呪文		透視	x-ray
挿入・接合部表現に関する呪文		断面図	cross-section
挿入・接合部表現に関する呪文		内部透視	internal view
挿入・接合部表現に関する呪文		子宮貫通	womb penetration
挿入・接合部表現に関する呪文		子宮口到達	cervix penetration
挿入・接合部表現に関する呪文		根元まで挿入	balls deep
挿入・接合部表現に関する呪文		先端だけ挿入	tip insertion
挿入・接合部表現に関する呪文		ギリギリ挿入	barely in
グリップ・つかみ方に関する呪文		尻を掴む	grabbing ass
グリップ・つかみ方に関する呪文		腰を掴む	grabbing hips
グリップ・つかみ方に関する呪文		胸を掴む	grabbing breasts
グリップ・つかみ方に関する呪文		髪を引っ張る	pulling hair
グリップ・つかみ方に関する呪文		首絞め	choking
グリップ・つかみ方に関する呪文		手を繋ぐ	holding hands
グリップ・つかみ方に関する呪文		抱きしめる	hugging
