低身長を表すプロンプト	Short Height	背が低い
低身長を表すプロンプト	Petite Height	小柄な
低身長を表すプロンプト	Compact Height	コンパクトな、小さくまとまった
低身長を表すプロンプト	Low Height	低身長の
低身長を表すプロンプト	Miniature Height	小型の、ミニチュアサイズの
低身長を表すプロンプト	Tiny Height	小さい、ちっぽけな
低身長を表すプロンプト	Diminutive Height	小さくてかわいらしい
低身長を表すプロンプト	Little Height	小さい、ちいさい
低身長を表すプロンプト	Under-height	標準以下の身長
低身長を表すプロンプト	Stunted Height	成長が阻害された、背が低い
低身長を表すプロンプト	Short-statured	短い体格の
低身長を表すプロンプト	Vertically Challenged Height	垂直方向に挑戦している（低身長をユーモラスに表現）
低身長を表すプロンプト	Elf-like Height	エルフのような、小さくて愛らしい
低身長を表すプロンプト	Midget Height	小人症の、非常に小さい（医学用語、時に侮辱的）
低身長を表すプロンプト	Dwarf Height	ドワーフ、非常に小柄（医学用語、ファンタジーの種族）
高身長を表すプロンプト	Tall Height	背が高い
高身長を表すプロンプト	Statuesque Height	像のように背が高い
高身長を表すプロンプト	Lofty Height	高身長の、高い
高身長を表すプロンプト	Elevated Height	高身長の
高身長を表すプロンプト	High Height	背が高い
高身長を表すプロンプト	Long-legged Height	足が長い
高身長を表すプロンプト	Giant Height	巨人のように背が高い
高身長を表すプロンプト	Lanky Height	背が高く、やせた
高身長を表すプロンプト	Lengthy Height	長身の
高身長を表すプロンプト	Towering Height	そびえ立つように背が高い
高身長を表すプロンプト	Vertical Height	縦長の、高身長
高身長を表すプロンプト	Sky-high Height	非常に背が高い
高身長を表すプロンプト	Overheight	標準以上の身長
高身長を表すプロンプト	Stretched Height	伸びた、長い
高身長を表すプロンプト	Beanpole Height	豆の棒のように背が高く、細い
